year,ref_date,variable,value,area_name,full_area_name,area_level,country_name,grouping,record_created,record_updated,source_org,source_title,source_pub_date,frequency,source_link,notes
1995,30/06/1995,population,48383500,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
1996,30/06/1996,population,48519100,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
1997,30/06/1997,population,48664800,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
1998,30/06/1998,population,48820600,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
1999,30/06/1999,population,49032900,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2000,30/06/2000,population,49233300,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2001,30/06/2001,population,49449700,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2002,30/06/2002,population,49679300,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2003,30/06/2003,population,49925500,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2004,30/06/2004,population,50194600,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2005,30/06/2005,population,50606000,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2006,30/06/2006,population,50965200,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2007,30/06/2007,population,51381100,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2008,30/06/2008,population,51815900,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2009,30/06/2009,population,52196400,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2010,30/06/2010,population,52642500,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2011,30/06/2011,population,53107200,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2012,30/06/2012,population,53493700,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2013,30/06/2013,population,53865800,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2014,30/06/2014,population,54316600,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2015,30/06/2015,population,54786300,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2016,30/06/2016,population,55268100,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2017,30/06/2017,population,55619400,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2018,30/06/2018,population,55977200,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2019,30/06/2019,population,56287000,England,England,country,UK,Anglophone,23/12/2020,23/12/2020,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,24/06/2020,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
2020,30/06/2020,population,56550100,England,England,country,UK,Anglophone,19/12/2021,19/12/2021,Nomis (Office for National Statistics),Population estimates - local authority based by five year age band,25/05/2021,Annual,https://www.nomisweb.co.uk/query/construct/summary.asp?mode=construct&version=0&dataset=31,
1963,01/10/1963,population,93441000,Japan,Japan,country,Japan,East Asia,09/01/2022,09/01/2022,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population. Excludes Okinawa.
1968,01/10/1968,population,99814100,Japan,Japan,country,Japan,East Asia,09/01/2022,09/01/2022,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population. Excludes Okinawa.
1973,01/10/1973,population,108255300,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
1978,01/10/1978,population,114998400,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
1983,01/10/1983,population,119305800,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
1988,01/10/1988,population,122659000,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
1993,01/10/1993,population,124606600,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
1998,01/10/1998,population,126331200,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
2003,01/10/2003,population,127457600,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
2008,01/10/2008,population,127519100,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
2013,01/10/2013,population,127129100,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
2018,01/10/2018,population,126307500,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 2.1 Households and Household Members by Type of Household (5 Groups) - Japan (1948-2018) ,30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&tclass2val=0,Household members only. Excludes any non-household population.
1963,01/10/1963,dwellings,21090000,Japan,Japan,country,Japan,East Asia,09/01/2022,09/01/2022,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,Excludes Okinawa
1968,01/10/1968,dwellings,25591200,Japan,Japan,country,Japan,East Asia,09/01/2022,09/01/2022,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,Excludes Okinawa
1973,01/10/1973,dwellings,31058900,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
1978,01/10/1978,dwellings,35450500,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
1983,01/10/1983,dwellings,38606800,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
1988,01/10/1988,dwellings,42007300,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
1993,01/10/1993,dwellings,45878800,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
1998,01/10/1998,dwellings,50246000,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
2003,01/10/2003,dwellings,53890900,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
2008,01/10/2008,dwellings,57586000,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
2013,01/10/2013,dwellings,60628600,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
2018,01/10/2018,dwellings,62407400,Japan,Japan,country,Japan,East Asia,23/12/2020,23/12/2020,e-Stat (Portal Site of Official Statistics of Japan),Housing and Land Survey 2018 - Table 1.1 Dwellings by Occupancy Status (9 Groups) and Occupied Buildings other than Dwelling by Type of Building (5 Groups) - Japan (1948-2018),30/06/2020,5 years,https://www.e-stat.go.jp/en/stat-search/files?page=1&layout=datalist&toukei=00200522&tstat=000001127155&cycle=0&tclass1=000001140366&stat_infid=000031959512&tclass2val=0,
1968,01/01/1968,dwellings,2656876,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1975,01/01/1975,dwellings,2874657,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1982,01/01/1982,dwellings,2995765,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1990,01/01/1990,dwellings,3110862,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1999,01/01/1999,dwellings,3251264,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
2006,01/01/2006,dwellings,3359871,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Multi-year,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2007,01/01/2007,dwellings,3371234,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2008,01/01/2008,dwellings,3391736,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2009,01/01/2009,dwellings,3412982,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2010,01/01/2010,dwellings,3428518,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2011,01/01/2011,dwellings,3440333,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2012,01/01/2012,dwellings,3452939,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2013,01/01/2013,dwellings,3472786,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2014,01/01/2014,dwellings,3498707,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2015,01/01/2015,dwellings,3527777,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2016,01/01/2016,dwellings,3560353,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2017,01/01/2017,dwellings,3592115,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Nombre de Logements (totaux) des communes d'Île-de-France (Donnée INSEE),28/11/2019,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/nombre-de-logements-totaux-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee/data?geometry=-1.210%2C48.040%2C6.212%2C49.309,
2018,01/01/2018,dwellings,3617237,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,22/07/2021,22/07/2021,L'Institut Paris Region,Dossier complet: Intercommunalité-Métropole de Métropole du Grand Paris,30/06/2021,Annual,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781,
1968,01/01/1968,population,6627331,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1975,01/01/1975,population,6506587,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1982,01/01/1982,population,6296648,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1990,01/01/1990,population,6355983,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
1999,01/01/1999,population,6383877,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,Insee,Dossier complet - Intercommunalité-Métropole de Métropole du Grand Paris (200054781),09/12/2020,Multi-year,https://www.insee.fr/fr/statistiques/2011101?geo=EPCI-200054781#chiffre-cle-3,
2006,01/01/2006,population,6742223,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Population des communes d'Île-de-France (Donnée INSEE),31/01/2020,Multi-year,https://data-iau-idf.opendata.arcgis.com/datasets/population-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee,
2007,01/01/2007,population,6777265,Paris,Métropole du Grand Paris,city-region,France,Southern Europe,23/12/2020,23/12/2020,L'Institut Paris Region,Population des communes d'Île-de-France (Donnée INSEE),31/01/2020,Annual,https://data-iau-idf.opendata.arcgis.com/datasets/population-des-communes-d%C3%AEle-de-france-donn%C3%A9e-insee,
