year,ref_date,variable,value,area_name,full_area_name,area_level,country_name,grouping,record_created,record_updated,source_org,source_title,source_pub_date,frequency,source_link,notes
2000,01/01/2000,dwellings,28988000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687229,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2001,01/01/2001,dwellings,29329000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687230,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2002,01/01/2002,dwellings,29660000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687231,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2003,01/01/2003,dwellings,29994000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687232,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2004,01/01/2004,dwellings,30339000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687233,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2005,01/01/2005,dwellings,30687000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687234,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2006,01/01/2006,dwellings,31060000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687235,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2007,01/01/2007,dwellings,31449000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687236,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2008,01/01/2008,dwellings,31819000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687237,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2009,01/01/2009,dwellings,32174000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687238,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2010,01/01/2010,dwellings,32520000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687239,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2011,01/01/2011,dwellings,32860000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687240,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2012,01/01/2012,dwellings,33212000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687241,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2013,01/01/2013,dwellings,33575000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687242,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2014,01/01/2014,dwellings,33943000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687243,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2015,01/01/2015,dwellings,34307000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687244,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2016,01/01/2016,dwellings,34646000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687245,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2017,01/01/2017,dwellings,34981000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687246,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2018,01/01/2018,dwellings,35333000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,23/12/2020,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687247,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2019,01/01/2019,dwellings,35652000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,19/12/2021,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687248,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2020,01/01/2020,dwellings,35986000,France,France métropolitaine,country,France,Southern Europe,23/12/2020,19/12/2021,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687249,19/08/2020,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
2021,01/01/2021,dwellings,36247000,France,France métropolitaine,country,France,Southern Europe,19/12/2021,19/12/2021,Insee,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine - Identifiant 001687249,30/09/2021,Annual,https://www.insee.fr/fr/statistiques/serie/001687211,
1986,31/12/1986,dwellings,1651314,Berlin,Berlin,city-region,Germany,Central/North Europe,23/12/2020,23/12/2020,Destatis,Fortschreibung des Wohngebäude- und Wohnungsbestandes - Lange Reihen von 1969 bis 2019,29/07/2020,Annual,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Wohnen/Publikationen/Downloads-Wohnen/fortschreibung-wohnungsbestand-pdf-5312301.html,
